Year,id,State,Population,Index offenses total,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Index offense rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1960,2,Alaska,226167,3730,236,23,47,64,102,3494,751,2195,548,1649.2,104.3,10.2,20.8,28.3,45.1,1544.9,332.1,970.5,242.3
1960,15,Hawaii,632772,14543,138,15,21,69,33,14405,3328,9369,1708,2298.3,21.8,2.4,3.3,10.9,5.2,2276.5,525.9,1480.6,269.9
1960,24,Maryland,3100689,51783,4691,168,224,1158,3141,47092,11360,30024,5708,1670.1,151.3,5.4,7.2,37.3,101.3,1518.8,366.4,968.3,184.1
1960,26,Michigan,7823194,208035,17034,353,1135,7330,8216,191001,56724,120237,14040,2659.2,217.7,4.5,14.5,93.7,105,2441.5,725.1,1536.9,179.5
1960,44,Rhode Island,859488,17812,316,9,20,122,165,17496,4388,10455,2653,2072.4,36.8,1,2.3,14.2,19.2,2035.6,510.5,1216.4,308.7
1960,51,Virginia,3966949,65568,7286,487,319,1042,5438,58282,15594,37660,5028,1652.9,183.7,12.3,8,26.3,137.1,1469.2,393.1,949.3,126.7
1960,53,Washington,2853214,63688,1616,61,166,886,503,62072,13908,43657,4507,2232.1,56.6,2.1,5.8,31.1,17.6,2175.5,487.5,1530.1,158
1961,2,Alaska,234000,3813,208,27,31,29,121,3605,891,2223,491,1629.5,88.9,11.5,13.2,12.4,51.7,1540.6,380.8,950,209.8
1961,15,Hawaii,657000,16571,161,15,25,70,51,16410,3909,10498,2003,2522.2,24.5,2.3,3.8,10.7,7.8,2497.7,595,1597.9,304.9
1961,24,Maryland,3188000,57065,4959,143,262,1330,3224,52106,12348,33461,6297,1790,155.6,4.5,8.2,41.7,101.1,1634.4,387.3,1049.6,197.5
1961,26,Michigan,7954000,214129,16499,326,1092,6441,8640,197630,57647,125964,14019,2692.1,207.4,4.1,13.7,81,108.6,2484.7,724.8,1583.7,176.3
1961,44,Rhode Island,867000,16267,372,9,15,115,233,15895,3937,9781,2177,1876.2,42.9,1,1.7,13.3,26.9,1833.3,454.1,1128.1,251.1
1961,51,Virginia,4059000,71851,7555,349,414,1065,5727,64296,17201,41626,5469,1770.1,186.1,8.6,10.2,26.2,141.1,1584,423.8,1025.5,134.7
1961,53,Washington,2902000,64752,1687,63,180,902,542,63065,13694,44450,4921,2231.3,58.1,2.2,6.2,31.1,18.7,2173.2,471.9,1531.7,169.6
1962,2,Alaska,246000,4074,225,11,46,34,134,3849,865,2424,560,1656.1,91.5,4.5,18.7,13.8,54.5,1564.6,351.6,985.4,227.6
1962,15,Hawaii,693000,17647,256,20,17,120,99,17391,4485,10693,2213,2546.4,36.9,2.9,2.5,17.3,14.3,2509.5,647.2,1543,319.3
1962,24,Maryland,3191000,60325,4915,183,279,1340,3113,55410,12886,36298,6226,1890.4,154,5.7,8.7,42,97.6,1736.4,403.8,1137.5,195.1
1962,26,Michigan,7991000,222179,18106,275,1133,7710,8988,204073,57641,130499,15933,2780.4,226.6,3.4,14.2,96.5,112.5,2553.8,721.3,1633.1,199.4
1962,44,Rhode Island,865000,16504,402,7,18,108,269,16102,4002,9788,2312,1908,46.5,0.8,2.1,12.5,31.1,1861.5,462.7,1131.6,267.3
